user_id,full_name,age,city,state,shipping_address
USR0001,Manbir Korpal,39,Mau,Chhattisgarh,"H.No. 65, De Marg, Bhopal 132084"
USR0002,Dalbir Mand,55,Burhanpur,Maharashtra,"221, Koshy, Bongaigaon 099401"
USR0003,Adweta Sule,52,Pimpri-Chinchwad,Karnataka,"H.No. 855, Sule Nagar, Agra 403112"
USR0004,Ishaan Aurora,64,Amritsar,Himachal Pradesh,"049, Karpe Marg, Medininagar 749817"
USR0005,Falak Munshi,36,Chandrapur,Rajasthan,"H.No. 07, Dar Ganj, Ahmednagar 003371"
USR0006,Sudiksha Mahal,43,Kalyan-Dombivli,Madhya Pradesh,"80/21, Vohra Ganj, Bhilai-614250"
USR0007,Wridesh Savant,38,Ahmednagar,Himachal Pradesh,"85/07, Naidu, Karnal-561073"
USR0008,Balveer Bahri,56,Pune,Madhya Pradesh,"28/50, Manne Nagar, Shimla 839980"
USR0009,Amrita Kadakia,42,Shahjahanpur,Jharkhand,"603, Sani Marg, Nizamabad-741947"
USR0010,Raghav Desai,29,Bhopal,Meghalaya,"H.No. 85, Murty Nagar, Arrah-779743"
USR0011,Lakshit Sekhon,55,Aurangabad,Tripura,"12/01, Parmar Nagar, Dharmavaram 616342"
USR0012,Ikshita Korpal,36,Tirunelveli,Karnataka,"H.No. 669, Din Ganj, Ludhiana 250667"
USR0013,Maanas Chawla,21,Ratlam,Chhattisgarh,"H.No. 30, Pai Marg, Farrukhabad-460934"
USR0014,Ishanvi Chaudhry,48,New Delhi,Manipur,"281, Chander Street, Chapra-781020"
USR0015,Sarthak Ramakrishnan,56,Munger,Assam,"28/90, Kumar Ganj, Ballia 877951"
USR0016,Anmol Thaker,63,Alwar,Uttar Pradesh,"H.No. 541, Acharya Street, Amravati-208293"
USR0017,Triya Minhas,43,Tirupati,Punjab,"46, Doctor Circle, Bhopal 848481"
USR0018,Anita Muni,59,Khammam,Gujarat,"194, Vohra Street, Kavali-841803"
USR0019,Praneel Hegde,44,Kanpur,Rajasthan,"53, Rau Road, Ahmedabad-195988"
USR0020,Urishilla Barad,64,Jalgaon,Haryana,"H.No. 87, Sule Nagar, Visakhapatnam 602902"
USR0021,Qasim Bava,47,,West Bengal,"694, Ramaswamy Zila, Kakinada-247112"
USR0022,Irya Kari,25,Mira-Bhayandar,Goa,"26/61, Grewal Street, Saharsa-698518"
USR0023,Unnati Ben,19,,Uttarakhand,"21, Sethi Street, Gorakhpur 677746"
USR0024,Janaki Bath,62,Erode,Nagaland,"76, Kohli Road, Tirunelveli 655296"
USR0025,Vrinda Lata,23,Tenali,Punjab,"H.No. 045, Kapoor Street, Malda 787533"
USR0026,Wridesh Merchant,54,Sangli-Miraj & Kupwad,Gujarat,"660, Lad Path, Sambhal-454654"
USR0027,Vansha Bhatia,57,,Jharkhand,"H.No. 03, Sen, South Dumdum 392147"
USR0028,Darpan Balakrishnan,47,Thanjavur,Uttar Pradesh,"H.No. 566, Lad Street, Nagaon 666409"
USR0029,Shaurya Agrawal,22,Mira-Bhayandar,Maharashtra,"246, Kannan Nagar, Hapur 004315"
USR0030,Yasti Das,64,Panihati,Uttar Pradesh,"61/737, Nadkarni Chowk, Mango-229544"
USR0031,Gaurav Sethi,28,Cuttack,Mizoram,"13/288, Pall Marg, Kochi-054045"
USR0032,Eesha Sane,51,Thiruvananthapuram,Punjab,"904, Gala Chowk, Chapra-169606"
USR0033,Harshil Choudhury,37,North Dumdum,Sikkim,"H.No. 94, Pillai, Chennai-700479"
USR0034,Jyoti Narula,28,Amritsar,Nagaland,"24, Divan Nagar, Kishanganj-620894"
USR0035,Meera Borah,30,Malda,Nagaland,"61/884, Barman Road, Serampore 022819"
USR0036,Chameli Morar,56,Loni,Tamil Nadu,"H.No. 30, Hayer Street, Chennai 909417"
